iteration,reward_mean,length_mean,games,loss
100,-0.22,0.44,9,0.06859913468360901
200,-0.22,0.44,9,0.052939627319574356
300,-0.56,1.11,9,0.06106709688901901
400,-0.5,1.0,10,0.032555170357227325
500,-0.22,0.44,9,0.028429025784134865
600,-0.3,0.6,10,0.030919961631298065
700,-0.42,0.83,12,0.023520570248365402
800,-0.25,0.5,8,0.008578185923397541
900,-0.4,0.8,10,0.014109761454164982
1000,-0.33,0.67,9,0.00916647631675005
1100,-0.5,1.0,8,0.0030972131062299013
1200,-0.25,0.5,8,0.004213398322463036
1300,-0.3,0.6,10,0.009795906022191048
1400,-0.38,0.75,8,0.003715141210705042
1500,-0.33,0.67,9,0.0026915392372757196
1600,-0.38,0.75,8,0.010969285853207111
1700,-0.25,0.5,8,0.026523124426603317
1800,-0.33,0.67,9,0.012229552492499352
1900,-0.25,0.5,8,0.011013608425855637
2000,-0.44,0.89,9,0.016842862591147423
2100,-0.22,0.44,9,0.0022930102422833443
2200,-0.5,1.0,8,0.017605802044272423
2300,-0.22,0.44,9,0.010795196518301964
2400,-0.12,0.25,8,0.020097017288208008
2500,-0.12,0.25,8,0.010229293256998062
2600,-0.38,0.75,8,0.0034108958207070827
2700,-0.12,0.25,8,0.010599525645375252
2800,-0.12,0.25,8,0.00214347243309021
2900,-0.12,0.25,8,0.010031779296696186
3000,-0.44,0.89,9,0.011453133076429367
3100,-0.12,0.25,8,0.010238242335617542
3200,-0.25,0.5,8,0.01931656524538994
3300,-0.12,0.25,8,0.004670166410505772
3400,-0.25,0.5,8,0.012043694965541363
3500,-0.44,0.89,9,0.004525361116975546
3600,-0.22,0.44,9,0.006468221079558134
3700,-0.12,0.25,8,0.02143072336912155
3800,-0.25,0.5,8,0.01103751640766859
3900,-0.12,0.25,8,0.006126571446657181
4000,-0.22,0.44,9,0.0025679327081888914
4100,0.0,0.38,8,0.011511752381920815
4200,-0.12,0.25,8,0.01277815643697977
4300,-0.12,0.25,8,0.003116542473435402
4400,0.12,0.5,8,0.0034793613012880087
4500,-0.22,0.44,9,0.004672500304877758
4600,-0.25,0.5,8,0.011519026942551136
4700,0.0,0.38,8,0.018969202414155006
4800,0.0,0.38,8,0.013364222832024097
4900,0.1,0.7,10,0.0071391938254237175
5000,-0.12,0.25,8,0.004261465277522802
5100,-0.12,0.25,8,0.024447577074170113
5200,0.1,1.3,10,0.005716593936085701
5300,-0.12,0.25,8,0.01968217082321644
5400,0.11,1.44,9,0.00611385190859437
5500,0.1,1.3,10,0.008692799136042595
5600,0.0,0.83,12,0.00484393909573555
5700,0.0,0.67,9,0.008943416178226471
5800,0.25,2.0,8,0.004606714937835932
5900,0.0,1.11,9,0.004529907368123531
6000,0.12,2.12,8,0.006949476432055235
6100,0.12,1.62,8,0.0006829037447459996
6200,-0.12,0.25,8,0.019251681864261627
6300,0.2,1.6,10,0.008901022374629974
6400,0.1,1.1,10,0.007780235260725021
6500,0.25,1.5,8,0.002853312296792865
6600,0.0,0.67,9,0.009103137999773026
6700,0.25,1.42,12,0.0017232722602784634
6800,0.0,1.0,10,0.002469433005899191
6900,0.12,1.38,8,0.0011023629922419786
7000,0.0,2.0,8,0.012508578598499298
7100,0.12,2.12,8,0.0010410522809252143
