iteration,reward_mean,length_mean,games,loss
7200,0.0,1.25,8,0.0027299330104142427
7300,0.12,1.62,8,0.000630280002951622
7400,-0.12,0.25,8,0.005947815719991922
7500,0.12,1.88,8,0.0031349852215498686
7600,0.12,2.12,8,0.003578920615836978
7700,0.0,0.91,11,0.009188215248286724
7800,0.12,1.38,8,0.0004840440524276346
7900,0.0,1.75,8,0.003957968670874834
8000,0.22,1.78,9,0.005642802454531193
8100,0.12,1.88,8,0.0011396147310733795
8200,0.0,1.5,8,0.0007071555010043085
8300,0.0,1.25,8,0.000757452507968992
8400,0.0,1.5,8,0.004761449061334133
8500,0.0,1.75,8,0.00959074031561613
8600,0.0,1.11,9,0.004432921297848225
8700,0.0,1.0,10,0.0013525825925171375
8800,0.0,1.75,8,0.000688344647642225
8900,0.25,2.0,8,0.008003427647054195
9000,0.25,1.75,8,0.009478126652538776
9100,0.2,1.6,10,0.0011288337409496307
9200,0.0,1.11,9,0.0007675723754800856
9300,0.0,1.75,8,0.005855093710124493
9400,0.12,2.12,8,0.007902850396931171
9500,0.1,1.3,10,0.014761790633201599
9600,0.08,0.92,12,0.00839255377650261
9700,0.0,1.2,10,0.008578588254749775
9800,0.0,1.5,8,0.0012835933594033122
9900,0.0,1.5,8,0.008689182810485363
10000,0.12,1.88,8,0.009840504266321659
10100,0.0,1.5,8,0.0013686339370906353
10200,0.09,1.18,11,0.018278278410434723
10300,0.09,1.36,11,0.01466982439160347
10400,0.0,1.75,8,0.017762310802936554
10500,0.25,2.25,8,0.001512302435003221
10600,0.0,1.75,8,0.01784999668598175
10700,0.0,1.75,8,0.002370665082708001
10800,0.22,1.33,9,0.01258185412734747
10900,0.25,1.5,8,0.008784018456935883
11000,0.0,2.0,8,0.0029183547012507915
11100,0.12,1.88,8,0.002715370152145624
11200,0.0,2.0,8,0.0015809829346835613
11300,0.0,1.75,8,0.002434596186503768
11400,0.0,2.0,8,0.00664248364046216
11500,0.12,1.62,8,0.016695015132427216
11600,0.25,2.0,8,0.0025468759704381227
11700,0.0,2.0,8,0.016428424045443535
11800,0.0,1.5,8,0.0030382289551198483
11900,0.0,1.5,8,0.0110169667750597
12000,0.0,1.5,8,0.0033434503711760044
12100,0.12,1.12,8,0.019991034641861916
12200,0.0,1.33,9,0.0021140496246516705
12300,0.12,1.88,8,0.03329499810934067
12400,0.11,1.44,9,0.02358430065214634
12500,0.12,1.12,8,0.010219113901257515
12600,0.12,1.38,8,0.007343340665102005
12700,0.0,2.0,8,0.002073915908113122
12800,0.0,1.2,10,0.00740289269015193
12900,0.25,2.0,8,0.0715712159872055
13000,0.11,1.67,9,0.0017558448016643524
13100,0.0,1.33,9,0.003896285081282258
13200,0.0,1.5,8,0.0008503759745508432
13300,0.0,1.33,9,0.001407934003509581
13400,0.22,1.56,9,0.00148735789116472
13500,0.12,1.62,8,0.020950721576809883
13600,0.12,1.88,8,0.0020065028220415115
13700,0.0,1.5,8,0.023618608713150024
13800,0.0,1.2,10,0.005054960958659649
13900,0.25,2.0,8,0.003497376339510083
14000,0.11,1.22,9,0.008522932417690754
14100,0.0,1.09,11,0.004626554436981678
14200,-0.12,0.25,8,0.03346794471144676
14300,0.0,2.0,8,0.0011146820615977049
14400,0.0,1.5,8,0.027249615639448166
14500,0.0,1.11,9,0.017617834731936455
14600,0.0,2.0,8,0.002128056949004531
14700,0.5,2.25,8,0.004396665841341019
14800,0.11,1.67,9,0.0012825900921598077
14900,0.0,1.75,8,0.007093813735991716
15000,0.11,1.67,9,0.012540155090391636
15100,0.0,1.33,9,0.002777557820081711
15200,0.25,1.75,8,0.0023897665087133646
15300,0.25,2.25,8,0.0013173629995435476
15400,0.12,1.38,8,0.0008871607715263963
15500,0.0,2.0,8,0.0017286750953644514
15600,0.0,2.0,8,0.000955083523876965
15700,0.0,1.33,9,0.0022117069456726313
15800,0.22,1.56,9,0.0024771953467279673
15900,0.12,2.12,8,0.0018884583842009306
16000,0.38,2.38,8,0.0013537283521145582
16100,0.12,1.88,8,0.0027891190256923437
16200,0.0,1.75,8,0.0022383700124919415
16300,0.12,2.12,8,0.006670093163847923
16400,0.0,2.0,8,0.0009393629734404385
16500,0.0,1.5,8,0.048184629529714584
16600,0.0,1.5,8,0.002278475556522608
16700,0.0,1.56,9,0.0066322386264801025
16800,0.12,1.62,8,0.0023803221993148327
16900,0.0,0.73,11,0.010092103853821754
17000,0.11,1.44,9,0.04984115809202194
17100,0.0,1.75,8,0.0018892267253249884
17200,0.0,1.75,8,0.015353492461144924
17300,0.0,1.75,8,0.001370589598082006
17400,0.12,2.12,8,0.04516402259469032
17500,0.0,2.0,8,0.002994969254359603
17600,0.0,1.75,8,0.001548956148326397
17700,0.12,1.88,8,0.0031772120855748653
17800,0.0,2.0,8,0.004459440242499113
17900,0.0,1.75,8,0.008996698074042797
18000,0.0,1.27,11,0.0023923679254949093
18100,0.0,1.75,8,0.050320565700531006
18200,0.1,1.1,10,0.00242178188636899
18300,0.0,1.4,10,0.008573274128139019
18400,0.0,1.75,8,0.001376091386191547
18500,0.12,1.88,8,0.004167097620666027
18600,0.0,2.0,8,0.03194597363471985
18700,0.0,1.5,8,0.011147123761475086
18800,0.0,1.33,9,0.007567005231976509
18900,0.0,1.75,8,0.0009839098202064633
19000,0.12,1.62,8,0.001428322633728385
19100,0.12,1.88,8,0.004325914196670055
19200,0.0,0.83,12,0.0587850958108902
19300,0.11,1.44,9,0.0020760756451636553
19400,0.12,2.12,8,0.0020677659194916487
19500,0.0,1.11,9,0.009629711508750916
19600,0.0,1.33,9,0.005704971961677074
19700,0.22,1.56,9,0.00474894791841507
